"","Burger","Address","City","Province","ZipCode","Restaurant.x","Description","Price.x","Chef.x","Phone.x","Website.x","Twitter.x","Instagram","Facebook","Lon","Lat","Photo.x","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Restaurant.y","Descript_1","Price.y","Chef.y","Phone.y","Website.y","Twitter.y","Photo.y","latitude","longitude","newLat","newLon",,,,,,,,,,,,,,,,
"1","BATA Burger","486 James St N","Hamilton","ON","L8L 1J1","The Harbour Diner","Bacon, avocado, tomato, arugula on a 8 oz. handmade fresh beef patty served on a Pane Del Sol toasted crusty kaiser with garlic aioli and burger sauce. Served with homemade bread & butter pickles and coleslaw.","$13","Darryl Beach","(905) 523-7373","http://www.harbourdiner.com/","http://www.twitter.com/theharbourdiner","http://www.instagram.com/TheHarbourDiner","http://www.facebook.com/theharbourdiner","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Harbour-Diner.jpg",NA,"Bacon, avocado, tomato, arugula on a 8 oz. handmade fresh beef patty served on a Pane Del Sol toasted crusty kaiser with garlic aioli and burger sauce. Served with homemade bread & butter pickles and coleslaw.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Harbour Diner",NA,"$13","Darryl Beach","(905) 523-7373","http://www.harbourdiner.com/","http://www.twitter.com/theharbourdiner","http://novemburger.ca/wp-content/uploads/2016/10/The-Harbour-Diner.jpg",4791360.605,592246.1733,43.269413,-79.8632867,,,,,,,,,,
"2","Bourbon BLT Burger","116 George St.","Hamilton","ON","L8P 1E2","Lou Dawg’s Southern BBQ","","$16","Jamie Ewing","(289) 389-3227","http://www.loudawgs.com/","https://twitter.com/loudawgshamont","https://www.instagram.com/loudawgshamont/","https://www.facebook.com/LouDawgsHamOnt/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Lou-Dawgs-NEW-768x1024.jpg",NA,"",NA,NA,NA,NA,-1,0,-1,NA,NA,"Lou Dawgâ€™s Southern BBQ",NA,"$16","Jamie Ewing","(289) 389-3227","http://www.loudawgs.com/","https://twitter.com/loudawgshamont","http://novemburger.ca/wp-content/uploads/2016/10/Lou-Dawgs-NEW-768x1024.jpg",4790135.757,591003.3694,43.2585369,-79.8788008,,,,,,,,,,,,,,,,
"3","Canadian Burger","20 Augusta St","Hamilton","ON","L8N 1P7","The Pheasant Plucker","8 oz. Angus beef patty, house made peameal bacon, deep fried cheese curds, gravy, maple Dijon sauce, lettuce & tomato, potato/scallion bun, served with your choice of side.","$18","Scott Stanek","(905) 529-9001","http://www.pheasantplucker.ca/","http://www.twitter.com/pheasco1","http://www.instagram.com/Pheasant_Plucker1","http://www.facebook.com/Pheasant-Plucker-115793575239538/?fref=ts","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Pheasant-Plucker.jpg",NA,"8 oz. Angus beef patty, house made peameal bacon, deep fried cheese curds, gravy, maple Dijon sauce, lettuce & tomato, potato/scallion bun, served with your choice of side.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Pheasant Plucker",NA,"$18","Scott Stanek","(905) 529-9001","http://www.pheasantplucker.ca/","http://www.twitter.com/pheasco1","http://novemburger.ca/wp-content/uploads/2016/10/The-Pheasant-Plucker.jpg",4789397.409,591702.9997,43.2518048,-79.8703056,,
"4","Cheeseburger Pupusa with Supreme Side","41 King William St","Hamilton","ON","L8R 1A2","The Mule","A double cheeseburger with pickles and caramelized onions packed into a masa shell, fried on the flat-top, and served with fries supreme or nachos supreme.","$12","Matty Johnny","(289) 389-2555","http://www.themule.ca/","http://www.twitter.com/themuletacos","http://www.instagram.com/themulemakestacos","http://www.facebook.com/themuletacos","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Mule.jpg",NA,"A double cheeseburger with pickles and caramelized onions packed into a masa shell, fried on the flat-top, and served with fries supreme or nachos supreme.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Mule",NA,"$12","Matty Johnny","(289) 389-2555","http://www.themule.ca/","http://www.twitter.com/themuletacos","http://novemburger.ca/wp-content/uploads/2016/10/The-Mule.jpg",4790011.61,591952.587,43.257304,-79.867129,,,,,,,,,,,,
"5","Chicago 58 Homeburger","29 John St. North","Hamilton","ON","L8R 1H1","John Street Diner","Jumbo fresh grilled kaiser sesame seed 8 oz. homemade seasoned all-beef burger topped a Chicago 58 all-beef hot dog, the fav of all hot dog carts across Ontario delivered fresh to our diner weekly, topped with your favourite condiments, cheddar, bacon and home fries.","$10.99","Chris & Jeff","(289) 389-8898","","","","https://www.facebook.com/JohnStreetDiner","",NA,"http://novemburger.ca/wp-content/uploads/2016/11/John-Street-Diner-576x1024.jpg",NA,"Jumbo fresh grilled kaiser sesame seed 8 oz. homemade seasoned all-beef burger topped a Chicago 58 all-beef hot dog, the fav of all hot dog carts across Ontario delivered fresh to our diner weekly, topped with your favourite condiments, cheddar, bacon an",NA,NA,NA,NA,-1,0,-1,NA,NA,"John Street Diner",NA,"$10.99","Chris & Jeff","(289) 389-8898","","","http://novemburger.ca/wp-content/uploads/2016/11/John-Street-Diner-576x1024.jpg",4789950.554,592032.3415,43.2567446,-79.8661568,,,,,,,,
"6","Chorizo Burger","191 James Street North","Hamilton","ON","L8R 2L1","Acclamation Bar & Grill","AAA Beef and chorizo topped with Portuguese cheese, Cajun sticks and pimento aioli.","$15","Sandra Correia","(905)-515-9663","http://acclamation.ca/","https://twitter.com/acclamation191","","","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Acclamation.jpg",NA,"AAA Beef and chorizo topped with Portuguese cheese, Cajun sticks and pimento aioli.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Acclamation Bar & Grill",NA,"$15","Sandra Correia","(905)-515-9663","http://acclamation.ca/","https://twitter.com/acclamation191","http://novemburger.ca/wp-content/uploads/2016/10/Acclamation.jpg",4790482.429,591903.0931,43.2615488,-79.8676601,,,,,,,,,,,,,,
"7","Fox and Candy","1011 King St W","Hamilton","ON","L8S 1L1","The Snooty Fox","2 handmade quarter-pound patties smothered in caramelized onions and smoked cheddar served on buttery brioche topped with grainy mustard and in-house candied bacon.","$15","Nick Vanderzanden","(905) 546-0000","http://www.snootyfox.ca/","","","","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Snooty-Fox.jpg",NA,"2 handmade quarter-pound patties smothered in caramelized onions and smoked cheddar served on buttery brioche topped with grainy mustard and in-house candied bacon.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Snooty Fox",NA,"$15","Nick Vanderzanden","(905) 546-0000","http://www.snootyfox.ca/","","http://novemburger.ca/wp-content/uploads/2016/10/The-Snooty-Fox.jpg",4790495.645,588835.9272,43.2620356,-79.9054417,,,,,,,,,,,,,,,,
"8","Grasshopper Twist","37 Barton St E","Hamilton","ON","L8L 2V6","The Little Grasshopper Cafe","A simple looking burger with a twist. Grilled pineapple, avocado, lettuce, tomato, and our homemade sauces.","$13","Maria Silva","(905) 393-7641","","","","http://www.facebook.com/thelittlegrasshopperhamilton","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Little-Grasshopper-2.jpg",NA,"A simple looking burger with a twist. Grilled pineapple, avocado, lettuce, tomato, and our homemade sauces.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Little Grasshopper Cafe",NA,"$13","Maria Silva","(905) 393-7641","","","http://novemburger.ca/wp-content/uploads/2016/10/The-Little-Grasshopper-2.jpg",4790688.071,592244.1253,43.2633585,-79.8634246,,,,,,,,
"9","Hardcore Hammerburger","272 King St. West","Hamilton","ON","L8P 1B1","Coop Wicked Chicken","6 oz. Ground chuck burger topped with chicken fried bacon, sunny side egg, homemade pimento cheese sauce and our signature Coop dip on a fresh caramelized bun.","$13.99","Casten Andrews","(289) 778-2667","http://thecoop.ca/","https://twitter.com/thecoopontario","https://www.instagram.com/thecoopwickedchicken/","https://www.facebook.com/tastyascluck","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/COOP-Wicked-Chicken.jpg",NA,"6 oz. Ground chuck burger topped with chicken fried bacon, sunny side egg, homemade pimento cheese sauce and our signature Coop dip on a fresh caramelized bun.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Coop Wicked Chicken",NA,"$13.99","Casten Andrews","(289) 778-2667","http://thecoop.ca/","https://twitter.com/thecoopontario","http://novemburger.ca/wp-content/uploads/2016/10/COOP-Wicked-Chicken.jpg",4790189.996,591116.8794,43.2590115,-79.8773936,,,,,,,,,,,,
"10","Jet Eggs Benny Burger","184 King St. East","Hamilton","ON","L8N","Jet Cafe","Fresh jumbo sesame kaiser from Pan Del Sol on John Street, 2 eggs poached, bacon, homemade 8 oz. seasoned homeburger, homemade Hollandaise sauce, spinach, English muffin and homefries.","$10.99","Kevin & Jeff","(905) 297-8113","","","","https://www.facebook.com/jetcafe","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Jet-Cafe.jpg",NA,"Fresh jumbo sesame kaiser from Pan Del Sol on John Street, 2 eggs poached, bacon, homemade 8 oz. seasoned homeburger, homemade Hollandaise sauce, spinach, English muffin and homefries.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Jet Cafe",NA,"$10.99","Kevin & Jeff","(905) 297-8113","","","http://novemburger.ca/wp-content/uploads/2016/10/Jet-Cafe.jpg",4789741.713,592234.6576,43.2548397,-79.8636997,,,,
